Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00    10046     0.00     0.00  engine::Lexer::getNextChar()
  0.00      0.00     0.00     2414     0.00     0.00  float&& std::forward<float>(std::remove_reference<float>::type&)
  0.00      0.00     0.00     1604     0.00     0.00  __gthread_active_p()
  0.00      0.00     0.00      809     0.00     0.00  engine::Lexer::getCurToken()
  0.00      0.00     0.00      809     0.00     0.00  engine::Lexer::getNextToken()
  0.00      0.00     0.00      809     0.00     0.00  engine::Lexer::getTok()
  0.00      0.00     0.00      806     0.00     0.00  engine::Lexer::consume(engine::Token)
  0.00      0.00     0.00      805     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.00     0.00      803     0.00     0.00  engine::Lexer::getValue()
  0.00      0.00     0.00      802     0.00     0.00  engine::Location::~Location()
  0.00      0.00     0.00      802     0.00     0.00  std::shared_ptr<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::~shared_ptr()
  0.00      0.00     0.00      802     0.00     0.00  std::__shared_ptr<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, (__gnu_cxx::_Lock_policy)2>::~__shared_ptr()
  0.00      0.00     0.00      802     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::~__shared_count()
  0.00      0.00     0.00      802     0.00     0.00  std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_release()
  0.00      0.00     0.00      801     0.00     0.00  engine::Lexer::getLastLocation()
  0.00      0.00     0.00      801     0.00     0.00  engine::Location::Location(engine::Location const&)
  0.00      0.00     0.00      801     0.00     0.00  void __gnu_cxx::new_allocator<float>::construct<float, float>(float*, float&&)
  0.00      0.00     0.00      801     0.00     0.00  std::shared_ptr<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::shared_ptr(std::shared_ptr<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&)
  0.00      0.00     0.00      801     0.00     0.00  std::__shared_ptr<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, (__gnu_cxx::_Lock_policy)2>::__shared_ptr(std::__shared_ptr<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, (__gnu_cxx::_Lock_policy)2> const&)
  0.00      0.00     0.00      801     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::__shared_count(std::__shared_count<(__gnu_cxx::_Lock_policy)2> const&)
